Learner,Email,Progress
Learner 71,Learner 71@example.com,88
Learner 72,Learner 72@example.com,74
Learner 73,Learner 73@example.com,90
Learner 74,Learner 74@example.com,70
Learner 75,Learner 75@example.com,78
Learner 76,Learner 76@example.com,78
Learner 77,Learner 77@example.com,74
Learner 78,Learner 78@example.com,86
Learner 79,Learner 79@example.com,82
Learner 80,Learner 80@example.com,68
Learner 81,Learner 81@example.com,68
Learner 82,Learner 82@example.com,80
Learner 83,Learner 83@example.com,96
Learner 84,Learner 84@example.com,94
Learner 85,Learner 85@example.com,88
Learner 86,Learner 86@example.com,84
Learner 87,Learner 87@example.com,94
Learner 88,Learner 88@example.com,96
Learner 89,Learner 89@example.com,86
Learner 90,Learner 90@example.com,96
Learner 91,Learner 91@example.com,84
Learner 92,Learner 92@example.com,90
Learner 93,Learner 93@example.com,94
Learner 94,Learner 94@example.com,90
Learner 95,Learner 95@example.com,94
Learner 96,Learner 96@example.com,94
Learner 97,Learner 97@example.com,88
Learner 98,Learner 98@example.com,96
Learner 99,Learner 99@example.com,98
Learner 100,Learner 100@example.com,96
Learner 101,Learner 101@example.com,90
Learner 102,Learner 102@example.com,86
Learner 103,Learner 103@example.com,96
Learner 104,Learner 104@example.com,86
Learner 105,Learner 105@example.com,96
Learner 106,Learner 106@example.com,86
Learner 107,Learner 107@example.com,74
Learner 108,Learner 108@example.com,22
Learner 109,Learner 109@example.com,64
Learner 110,Learner 110@example.com,6
Learner 111,Learner 111@example.com,40
Learner 112,Learner 112@example.com,62
Learner 113,Learner 113@example.com,60
Learner 114,Learner 114@example.com,44
Learner 115,Learner 115@example.com,42
Learner 116,Learner 116@example.com,24
Learner 117,Learner 117@example.com,48
Learner 118,Learner 118@example.com,46
Learner 119,Learner 119@example.com,72
Learner 120,Learner 120@example.com,30
Learner 121,Learner 121@example.com,20
Learner 122,Learner 122@example.com,78
Learner 123,Learner 123@example.com,64
Learner 124,Learner 124@example.com,54
Learner 125,Learner 125@example.com,50
Learner 126,Learner 126@example.com,50
Learner 127,Learner 127@example.com,54
Learner 128,Learner 128@example.com,56
Learner 129,Learner 129@example.com,38
Learner 130,Learner 130@example.com,50
Learner 131,Learner 131@example.com,40
Learner 132,Learner 132@example.com,16
Learner 133,Learner 133@example.com,78
Learner 134,Learner 134@example.com,34
Learner 135,Learner 135@example.com,60
Learner 136,Learner 136@example.com,30
Learner 137,Learner 137@example.com,82
Learner 138,Learner 138@example.com,82
Learner 139,Learner 139@example.com,80
Learner 140,Learner 140@example.com,78
Learner 141,Learner 141@example.com,62
Learner 142,Learner 142@example.com,70
Learner 143,Learner 143@example.com,84
Learner 144,Learner 144@example.com,74
Learner 145,Learner 145@example.com,98
Learner 146,Learner 146@example.com,98
Learner 147,Learner 147@example.com,82
Learner 148,Learner 148@example.com,84
Learner 149,Learner 149@example.com,84
Learner 150,Learner 150@example.com,72
Learner 151,Learner 151@example.com,76
Learner 152,Learner 152@example.com,74
Learner 153,Learner 153@example.com,72
Learner 154,Learner 154@example.com,88
Learner 155,Learner 155@example.com,78
Learner 156,Learner 156@example.com,86
Learner 157,Learner 157@example.com,72
Learner 158,Learner 158@example.com,88
Learner 159,Learner 159@example.com,80
Learner 160,Learner 160@example.com,74
Learner 161,Learner 161@example.com,74
Learner 162,Learner 162@example.com,92
Learner 163,Learner 163@example.com,86
Learner 164,Learner 164@example.com,74
Learner 165,Learner 165@example.com,98
Learner 166,Learner 166@example.com,86
Learner 167,Learner 167@example.com,86
Learner 168,Learner 168@example.com,72
Learner 169,Learner 169@example.com,82
Learner 170,Learner 170@example.com,68
Learner 171,Learner 171@example.com,76
Learner 172,Learner 172@example.com,64
Learner 173,Learner 173@example.com,60
Learner 174,Learner 174@example.com,98
Learner 175,Learner 175@example.com,92
Learner 176,Learner 176@example.com,90
Learner 177,Learner 177@example.com,88
Learner 178,Learner 178@example.com,74
Learner 179,Learner 179@example.com,90
Learner 180,Learner 180@example.com,70
Learner 181,Learner 181@example.com,78
Learner 182,Learner 182@example.com,78
Learner 183,Learner 183@example.com,74
Learner 184,Learner 184@example.com,86
Learner 185,Learner 185@example.com,82
Learner 186,Learner 186@example.com,68
Learner 187,Learner 187@example.com,68
Learner 188,Learner 188@example.com,80
Learner 189,Learner 189@example.com,96
Learner 190,Learner 190@example.com,94
Learner 191,Learner 191@example.com,88
Learner 192,Learner 192@example.com,84
Learner 193,Learner 193@example.com,94
Learner 194,Learner 194@example.com,96
Learner 195,Learner 195@example.com,86
Learner 196,Learner 196@example.com,96
Learner 197,Learner 197@example.com,84
Learner 198,Learner 198@example.com,90
Learner 199,Learner 199@example.com,94
Learner 200,Learner 200@example.com,90
Learner 201,Learner 201@example.com,94
Learner 202,Learner 202@example.com,94
Learner 203,Learner 203@example.com,88
Learner 204,Learner 204@example.com,96
Learner 205,Learner 205@example.com,98
Learner 206,Learner 206@example.com,96
Learner 207,Learner 207@example.com,90
Learner 208,Learner 208@example.com,86
Learner 209,Learner 209@example.com,96
Learner 210,Learner 210@example.com,86
Learner 211,Learner 211@example.com,96
Learner 212,Learner 212@example.com,86
Learner 213,Learner 213@example.com,74
Learner 214,Learner 214@example.com,22
Learner 215,Learner 215@example.com,64
Learner 216,Learner 216@example.com,6
Learner 217,Learner 217@example.com,40
Learner 218,Learner 218@example.com,62
Learner 219,Learner 219@example.com,60
Learner 220,Learner 220@example.com,44
Learner 221,Learner 221@example.com,42
Learner 222,Learner 222@example.com,24
Learner 223,Learner 223@example.com,48
Learner 224,Learner 224@example.com,46
Learner 225,Learner 225@example.com,72
Learner 226,Learner 226@example.com,30
Learner 227,Learner 227@example.com,20
Learner 228,Learner 228@example.com,78
Learner 229,Learner 229@example.com,64
Learner 230,Learner 230@example.com,54
Learner 231,Learner 231@example.com,50
Learner 232,Learner 232@example.com,50
Learner 233,Learner 233@example.com,54
Learner 234,Learner 234@example.com,56
Learner 235,Learner 235@example.com,38
Learner 236,Learner 236@example.com,50
Learner 237,Learner 237@example.com,40
Learner 238,Learner 238@example.com,16
Learner 239,Learner 239@example.com,78
Learner 240,Learner 240@example.com,34
Learner 241,Learner 241@example.com,60
Learner 242,Learner 242@example.com,30
Learner 243,Learner 243@example.com,82
Learner 244,Learner 244@example.com,82
Learner 245,Learner 245@example.com,80
Learner 246,Learner 246@example.com,78
Learner 247,Learner 247@example.com,62
Learner 248,Learner 248@example.com,70
Learner 249,Learner 249@example.com,84
Learner 250,Learner 250@example.com,74
Learner 251,Learner 251@example.com,98
Learner 252,Learner 252@example.com,98
Learner 253,Learner 253@example.com,82
Learner 254,Learner 254@example.com,84
Learner 255,Learner 255@example.com,84
Learner 256,Learner 256@example.com,72
Learner 257,Learner 257@example.com,76
Learner 258,Learner 258@example.com,74
Learner 259,Learner 259@example.com,72
Learner 260,Learner 260@example.com,88
Learner 261,Learner 261@example.com,78
Learner 262,Learner 262@example.com,86
Learner 263,Learner 263@example.com,72
Learner 264,Learner 264@example.com,88
Learner 265,Learner 265@example.com,80
Learner 266,Learner 266@example.com,74
Learner 267,Learner 267@example.com,74
Learner 268,Learner 268@example.com,92
Learner 269,Learner 269@example.com,86
Learner 270,Learner 270@example.com,74
Learner 271,Learner 271@example.com,98
Learner 272,Learner 272@example.com,86
Learner 273,Learner 273@example.com,86
Learner 274,Learner 274@example.com,72
Learner 275,Learner 275@example.com,82
Learner 276,Learner 276@example.com,68
Learner 277,Learner 277@example.com,76
Learner 278,Learner 278@example.com,64
Learner 279,Learner 279@example.com,60
Learner 280,Learner 280@example.com,98
Learner 281,Learner 281@example.com,92
Learner 282,Learner 282@example.com,90
Learner 283,Learner 283@example.com,88
Learner 284,Learner 284@example.com,74
Learner 285,Learner 285@example.com,90
Learner 286,Learner 286@example.com,70
Learner 287,Learner 287@example.com,78
Learner 288,Learner 288@example.com,78
Learner 289,Learner 289@example.com,74
Learner 290,Learner 290@example.com,86
Learner 291,Learner 291@example.com,82
Learner 292,Learner 292@example.com,68
Learner 293,Learner 293@example.com,68
Learner 294,Learner 294@example.com,80
Learner 295,Learner 295@example.com,96
Learner 296,Learner 296@example.com,94
Learner 297,Learner 297@example.com,88
Learner 298,Learner 298@example.com,84
Learner 299,Learner 299@example.com,94
Learner 300,Learner 300@example.com,96
Learner 301,Learner 301@example.com,86
Learner 302,Learner 302@example.com,96
Learner 303,Learner 303@example.com,84
Learner 304,Learner 304@example.com,90
Learner 305,Learner 305@example.com,94
Learner 306,Learner 306@example.com,90
Learner 307,Learner 307@example.com,94
Learner 308,Learner 308@example.com,94
Learner 309,Learner 309@example.com,88
Learner 310,Learner 310@example.com,96
Learner 311,Learner 311@example.com,98
Learner 312,Learner 312@example.com,96
Learner 313,Learner 313@example.com,90
Learner 314,Learner 314@example.com,86
Learner 315,Learner 315@example.com,96
Learner 316,Learner 316@example.com,86
Learner 317,Learner 317@example.com,96
Learner 318,Learner 318@example.com,86
Learner 319,Learner 319@example.com,74
Learner 320,Learner 320@example.com,22
Learner 321,Learner 321@example.com,64
Learner 322,Learner 322@example.com,6
Learner 323,Learner 323@example.com,40
Learner 324,Learner 324@example.com,62
Learner 325,Learner 325@example.com,60
Learner 326,Learner 326@example.com,44
Learner 327,Learner 327@example.com,42
Learner 328,Learner 328@example.com,24
Learner 329,Learner 329@example.com,48
Learner 330,Learner 330@example.com,46
Learner 331,Learner 331@example.com,72
Learner 332,Learner 332@example.com,30
Learner 333,Learner 333@example.com,20
Learner 334,Learner 334@example.com,78
Learner 335,Learner 335@example.com,64
Learner 336,Learner 336@example.com,54
Learner 337,Learner 337@example.com,50
Learner 338,Learner 338@example.com,50
Learner 339,Learner 339@example.com,54
Learner 340,Learner 340@example.com,56
Learner 341,Learner 341@example.com,38
Learner 342,Learner 342@example.com,50
Learner 343,Learner 343@example.com,40
Learner 344,Learner 344@example.com,16
Learner 345,Learner 345@example.com,78
Learner 346,Learner 346@example.com,34
Learner 347,Learner 347@example.com,60
Learner 348,Learner 348@example.com,30
Learner 349,Learner 349@example.com,82
Learner 350,Learner 350@example.com,82
Learner 351,Learner 351@example.com,80
Learner 352,Learner 352@example.com,78
Learner 353,Learner 353@example.com,62
Learner 354,Learner 354@example.com,70
Learner 355,Learner 355@example.com,84
Learner 356,Learner 356@example.com,74
Learner 357,Learner 357@example.com,98
Learner 358,Learner 358@example.com,98
Learner 359,Learner 359@example.com,82
Learner 360,Learner 360@example.com,84
Learner 361,Learner 361@example.com,84
Learner 362,Learner 362@example.com,72
Learner 363,Learner 363@example.com,76
Learner 364,Learner 364@example.com,74
Learner 365,Learner 365@example.com,72
Learner 366,Learner 366@example.com,88
Learner 367,Learner 367@example.com,78
Learner 368,Learner 368@example.com,86
Learner 369,Learner 369@example.com,72
Learner 370,Learner 370@example.com,88
Learner 371,Learner 371@example.com,80
Learner 372,Learner 372@example.com,74
Learner 373,Learner 373@example.com,74
Learner 374,Learner 374@example.com,92
Learner 375,Learner 375@example.com,86
Learner 376,Learner 376@example.com,74
Learner 377,Learner 377@example.com,98
Learner 378,Learner 378@example.com,86
Learner 379,Learner 379@example.com,86
Learner 380,Learner 380@example.com,72
Learner 381,Learner 381@example.com,82
Learner 382,Learner 382@example.com,68
Learner 383,Learner 383@example.com,76
Learner 384,Learner 384@example.com,64
Learner 385,Learner 385@example.com,60
Learner 386,Learner 386@example.com,98
Learner 387,Learner 387@example.com,92
Learner 388,Learner 388@example.com,90
Learner 389,Learner 389@example.com,88
Learner 390,Learner 390@example.com,74
Learner 391,Learner 391@example.com,90
Learner 392,Learner 392@example.com,70
Learner 393,Learner 393@example.com,78
Learner 394,Learner 394@example.com,78
Learner 395,Learner 395@example.com,74
Learner 396,Learner 396@example.com,86
Learner 397,Learner 397@example.com,82
Learner 398,Learner 398@example.com,68
Learner 399,Learner 399@example.com,68
Learner 400,Learner 400@example.com,80
Learner 401,Learner 401@example.com,96
Learner 402,Learner 402@example.com,94
Learner 403,Learner 403@example.com,88
Learner 404,Learner 404@example.com,84
Learner 405,Learner 405@example.com,94
Learner 406,Learner 406@example.com,96
Learner 407,Learner 407@example.com,86
Learner 408,Learner 408@example.com,96
Learner 409,Learner 409@example.com,84
Learner 410,Learner 410@example.com,90
Learner 411,Learner 411@example.com,94
Learner 412,Learner 412@example.com,90
Learner 413,Learner 413@example.com,94
Learner 414,Learner 414@example.com,94
Learner 415,Learner 415@example.com,88
Learner 416,Learner 416@example.com,96
Learner 417,Learner 417@example.com,98
Learner 418,Learner 418@example.com,96
Learner 419,Learner 419@example.com,90
Learner 420,Learner 420@example.com,86
Learner 421,Learner 421@example.com,96
Learner 422,Learner 422@example.com,86
Learner 423,Learner 423@example.com,96
Learner 424,Learner 424@example.com,86
Learner 425,Learner 425@example.com,74
Learner 426,Learner 426@example.com,22
Learner 427,Learner 427@example.com,64
Learner 428,Learner 428@example.com,6
Learner 429,Learner 429@example.com,40
Learner 430,Learner 430@example.com,62
Learner 431,Learner 431@example.com,60
Learner 432,Learner 432@example.com,44
Learner 433,Learner 433@example.com,42
Learner 434,Learner 434@example.com,24
Learner 435,Learner 435@example.com,48
Learner 436,Learner 436@example.com,46
Learner 437,Learner 437@example.com,72
Learner 438,Learner 438@example.com,30
Learner 439,Learner 439@example.com,20
Learner 440,Learner 440@example.com,78
Learner 441,Learner 441@example.com,64
Learner 442,Learner 442@example.com,54
Learner 443,Learner 443@example.com,50
Learner 444,Learner 444@example.com,50
Learner 445,Learner 445@example.com,54
Learner 446,Learner 446@example.com,56
Learner 447,Learner 447@example.com,38
Learner 448,Learner 448@example.com,50
Learner 449,Learner 449@example.com,40
Learner 450,Learner 450@example.com,16
Learner 451,Learner 451@example.com,78
Learner 452,Learner 452@example.com,34
Learner 453,Learner 453@example.com,60
Learner 454,Learner 454@example.com,30
Learner 455,Learner 455@example.com,82
Learner 456,Learner 456@example.com,82
Learner 457,Learner 457@example.com,80
Learner 458,Learner 458@example.com,78
Learner 459,Learner 459@example.com,62
Learner 460,Learner 460@example.com,70
Learner 461,Learner 461@example.com,84
Learner 462,Learner 462@example.com,74
Learner 463,Learner 463@example.com,98
Learner 464,Learner 464@example.com,98
Learner 465,Learner 465@example.com,82
Learner 466,Learner 466@example.com,84
Learner 467,Learner 467@example.com,84
Learner 468,Learner 468@example.com,72
Learner 469,Learner 469@example.com,76
Learner 470,Learner 470@example.com,74
Learner 471,Learner 471@example.com,72
Learner 472,Learner 472@example.com,88
Learner 473,Learner 473@example.com,78
Learner 474,Learner 474@example.com,86
Learner 475,Learner 475@example.com,72
Learner 476,Learner 476@example.com,88
Learner 477,Learner 477@example.com,80
Learner 478,Learner 478@example.com,74
Learner 479,Learner 479@example.com,74
Learner 480,Learner 480@example.com,92
Learner 481,Learner 481@example.com,86
Learner 482,Learner 482@example.com,74
Learner 483,Learner 483@example.com,98
Learner 484,Learner 484@example.com,86
Learner 485,Learner 485@example.com,86
Learner 486,Learner 486@example.com,72
Learner 487,Learner 487@example.com,82
Learner 488,Learner 488@example.com,68
Learner 489,Learner 489@example.com,76
Learner 490,Learner 490@example.com,64
Learner 491,Learner 491@example.com,60
Learner 492,Learner 492@example.com,98
Learner 493,Learner 493@example.com,92
Learner 494,Learner 494@example.com,90
Learner 495,Learner 495@example.com,88
Learner 496,Learner 496@example.com,74
Learner 497,Learner 497@example.com,90
Learner 498,Learner 498@example.com,70
Learner 499,Learner 499@example.com,78
Learner 500,Learner 500@example.com,78
Learner 501,Learner 501@example.com,74
Learner 502,Learner 502@example.com,86
Learner 503,Learner 503@example.com,82
Learner 504,Learner 504@example.com,68
Learner 505,Learner 505@example.com,68
Learner 506,Learner 506@example.com,80
Learner 507,Learner 507@example.com,96
Learner 508,Learner 508@example.com,94
Learner 509,Learner 509@example.com,88
Learner 510,Learner 510@example.com,84
Learner 511,Learner 511@example.com,94
Learner 512,Learner 512@example.com,96
Learner 513,Learner 513@example.com,86
Learner 514,Learner 514@example.com,96
Learner 515,Learner 515@example.com,84
Learner 516,Learner 516@example.com,90
Learner 517,Learner 517@example.com,94
Learner 518,Learner 518@example.com,90
Learner 519,Learner 519@example.com,94
Learner 520,Learner 520@example.com,94
Learner 521,Learner 521@example.com,88
Learner 522,Learner 522@example.com,96
Learner 523,Learner 523@example.com,98
Learner 524,Learner 524@example.com,96
Learner 525,Learner 525@example.com,90
Learner 526,Learner 526@example.com,86
Learner 527,Learner 527@example.com,96
Learner 528,Learner 528@example.com,86
Learner 529,Learner 529@example.com,96
Learner 530,Learner 530@example.com,86
Learner 531,Learner 531@example.com,74
Learner 532,Learner 532@example.com,22
Learner 533,Learner 533@example.com,64
Learner 534,Learner 534@example.com,6
Learner 535,Learner 535@example.com,40
Learner 536,Learner 536@example.com,62
Learner 537,Learner 537@example.com,60
Learner 538,Learner 538@example.com,44
Learner 539,Learner 539@example.com,42
Learner 540,Learner 540@example.com,24
Learner 541,Learner 541@example.com,48
Learner 542,Learner 542@example.com,46
Learner 543,Learner 543@example.com,72
Learner 544,Learner 544@example.com,30
Learner 545,Learner 545@example.com,20
Learner 546,Learner 546@example.com,78
Learner 547,Learner 547@example.com,64
Learner 548,Learner 548@example.com,54
Learner 549,Learner 549@example.com,50
Learner 550,Learner 550@example.com,50
Learner 551,Learner 551@example.com,54
Learner 552,Learner 552@example.com,56
Learner 553,Learner 553@example.com,38
Learner 554,Learner 554@example.com,50
Learner 555,Learner 555@example.com,40
Learner 556,Learner 556@example.com,16
Learner 557,Learner 557@example.com,78
Learner 558,Learner 558@example.com,34
Learner 559,Learner 559@example.com,60
Learner 560,Learner 560@example.com,30
Learner 561,Learner 561@example.com,82
Learner 562,Learner 562@example.com,82
Learner 563,Learner 563@example.com,80
Learner 564,Learner 564@example.com,78
Learner 565,Learner 565@example.com,62
Learner 566,Learner 566@example.com,70
Learner 567,Learner 567@example.com,84
Learner 568,Learner 568@example.com,74
Learner 569,Learner 569@example.com,98
Learner 570,Learner 570@example.com,98
Learner 571,Learner 571@example.com,82
Learner 572,Learner 572@example.com,84
Learner 573,Learner 573@example.com,84
Learner 574,Learner 574@example.com,72
Learner 575,Learner 575@example.com,76
Learner 576,Learner 576@example.com,74
Learner 577,Learner 577@example.com,72
Learner 578,Learner 578@example.com,88
Learner 579,Learner 579@example.com,78
Learner 580,Learner 580@example.com,86
Learner 581,Learner 581@example.com,72
Learner 582,Learner 582@example.com,88
Learner 583,Learner 583@example.com,80
Learner 584,Learner 584@example.com,74
Learner 585,Learner 585@example.com,74
Learner 586,Learner 586@example.com,92
Learner 587,Learner 587@example.com,86
Learner 588,Learner 588@example.com,74
Learner 589,Learner 589@example.com,98
Learner 590,Learner 590@example.com,86
Learner 591,Learner 591@example.com,86
Learner 592,Learner 592@example.com,72
Learner 593,Learner 593@example.com,82
Learner 594,Learner 594@example.com,68
Learner 595,Learner 595@example.com,76
Learner 596,Learner 596@example.com,64
Learner 597,Learner 597@example.com,60
Learner 598,Learner 598@example.com,98
Learner 599,Learner 599@example.com,92
Learner 600,Learner 600@example.com,90
Learner 601,Learner 601@example.com,88
Learner 602,Learner 602@example.com,74
Learner 603,Learner 603@example.com,90
Learner 604,Learner 604@example.com,70
Learner 605,Learner 605@example.com,78
Learner 606,Learner 606@example.com,78
Learner 607,Learner 607@example.com,74
Learner 608,Learner 608@example.com,86
Learner 609,Learner 609@example.com,82
Learner 610,Learner 610@example.com,68
Learner 611,Learner 611@example.com,68
Learner 612,Learner 612@example.com,80
Learner 613,Learner 613@example.com,96
Learner 614,Learner 614@example.com,94
Learner 615,Learner 615@example.com,88
Learner 616,Learner 616@example.com,84
Learner 617,Learner 617@example.com,94
Learner 618,Learner 618@example.com,96
Learner 619,Learner 619@example.com,86
Learner 620,Learner 620@example.com,96
Learner 621,Learner 621@example.com,84
Learner 622,Learner 622@example.com,90
Learner 623,Learner 623@example.com,94
Learner 624,Learner 624@example.com,90
Learner 625,Learner 625@example.com,94
Learner 626,Learner 626@example.com,94
Learner 627,Learner 627@example.com,88
Learner 628,Learner 628@example.com,96
Learner 629,Learner 629@example.com,98
Learner 630,Learner 630@example.com,96
Learner 631,Learner 631@example.com,90
Learner 632,Learner 632@example.com,86
Learner 633,Learner 633@example.com,96
Learner 634,Learner 634@example.com,86
Learner 635,Learner 635@example.com,96
Learner 636,Learner 636@example.com,86
Learner 637,Learner 637@example.com,74
Learner 638,Learner 638@example.com,22
Learner 639,Learner 639@example.com,64
Learner 640,Learner 640@example.com,6
Learner 641,Learner 641@example.com,40
Learner 642,Learner 642@example.com,62
Learner 643,Learner 643@example.com,60
Learner 644,Learner 644@example.com,44
Learner 645,Learner 645@example.com,42
Learner 646,Learner 646@example.com,24
Learner 647,Learner 647@example.com,48
Learner 648,Learner 648@example.com,46
Learner 649,Learner 649@example.com,72
Learner 650,Learner 650@example.com,30
Learner 651,Learner 651@example.com,20
Learner 652,Learner 652@example.com,78
Learner 653,Learner 653@example.com,64
Learner 654,Learner 654@example.com,54
Learner 655,Learner 655@example.com,50
Learner 656,Learner 656@example.com,50
Learner 657,Learner 657@example.com,54
Learner 658,Learner 658@example.com,56
Learner 659,Learner 659@example.com,38
Learner 660,Learner 660@example.com,50
Learner 661,Learner 661@example.com,40
Learner 662,Learner 662@example.com,16
Learner 663,Learner 663@example.com,78
Learner 664,Learner 664@example.com,34
Learner 665,Learner 665@example.com,60
Learner 666,Learner 666@example.com,30
Learner 667,Learner 667@example.com,82
Learner 668,Learner 668@example.com,82
Learner 669,Learner 669@example.com,80
Learner 670,Learner 670@example.com,78
Learner 671,Learner 671@example.com,62
Learner 672,Learner 672@example.com,70
Learner 673,Learner 673@example.com,84
Learner 674,Learner 674@example.com,74
Learner 675,Learner 675@example.com,98
Learner 676,Learner 676@example.com,98
Learner 677,Learner 677@example.com,82
Learner 678,Learner 678@example.com,84
Learner 679,Learner 679@example.com,84
Learner 680,Learner 680@example.com,72
Learner 681,Learner 681@example.com,76
Learner 682,Learner 682@example.com,74
Learner 683,Learner 683@example.com,72
Learner 684,Learner 684@example.com,88
Learner 685,Learner 685@example.com,78
Learner 686,Learner 686@example.com,86
Learner 687,Learner 687@example.com,72
Learner 688,Learner 688@example.com,88
Learner 689,Learner 689@example.com,80
Learner 690,Learner 690@example.com,74
Learner 691,Learner 691@example.com,74
Learner 692,Learner 692@example.com,92
Learner 693,Learner 693@example.com,86
Learner 694,Learner 694@example.com,74
Learner 695,Learner 695@example.com,98
Learner 696,Learner 696@example.com,86
Learner 697,Learner 697@example.com,86
Learner 698,Learner 698@example.com,72
Learner 699,Learner 699@example.com,82
Learner 700,Learner 700@example.com,68
Learner 701,Learner 701@example.com,76
Learner 702,Learner 702@example.com,64
Learner 703,Learner 703@example.com,60
Learner 704,Learner 704@example.com,98
Learner 705,Learner 705@example.com,92
Learner 706,Learner 706@example.com,90
Learner 707,Learner 707@example.com,88
Learner 708,Learner 708@example.com,74
Learner 709,Learner 709@example.com,90
Learner 710,Learner 710@example.com,70
Learner 711,Learner 711@example.com,78
Learner 712,Learner 712@example.com,78
Learner 713,Learner 713@example.com,74
Learner 714,Learner 714@example.com,86
Learner 715,Learner 715@example.com,82
Learner 716,Learner 716@example.com,68
Learner 717,Learner 717@example.com,68
Learner 718,Learner 718@example.com,80
Learner 719,Learner 719@example.com,96
Learner 720,Learner 720@example.com,94
Learner 721,Learner 721@example.com,88
Learner 722,Learner 722@example.com,84
Learner 723,Learner 723@example.com,94
Learner 724,Learner 724@example.com,96
Learner 725,Learner 725@example.com,86
Learner 726,Learner 726@example.com,96
Learner 727,Learner 727@example.com,84
Learner 728,Learner 728@example.com,90
Learner 729,Learner 729@example.com,94
Learner 730,Learner 730@example.com,90
Learner 731,Learner 731@example.com,94
Learner 732,Learner 732@example.com,94
Learner 733,Learner 733@example.com,88
Learner 734,Learner 734@example.com,96
Learner 735,Learner 735@example.com,98
Learner 736,Learner 736@example.com,96
Learner 737,Learner 737@example.com,90
Learner 738,Learner 738@example.com,86
Learner 739,Learner 739@example.com,96
Learner 740,Learner 740@example.com,86
Learner 741,Learner 741@example.com,96
Learner 742,Learner 742@example.com,86
Learner 743,Learner 743@example.com,74
Learner 744,Learner 744@example.com,22
Learner 745,Learner 745@example.com,64
Learner 746,Learner 746@example.com,6
Learner 747,Learner 747@example.com,40
Learner 748,Learner 748@example.com,62
Learner 749,Learner 749@example.com,60
Learner 750,Learner 750@example.com,44
Learner 751,Learner 751@example.com,42
Learner 752,Learner 752@example.com,24
Learner 753,Learner 753@example.com,48
Learner 754,Learner 754@example.com,46
Learner 755,Learner 755@example.com,72
Learner 756,Learner 756@example.com,30
Learner 757,Learner 757@example.com,20
Learner 758,Learner 758@example.com,78
Learner 759,Learner 759@example.com,64
Learner 760,Learner 760@example.com,54
Learner 761,Learner 761@example.com,50
Learner 762,Learner 762@example.com,50
Learner 763,Learner 763@example.com,54
Learner 764,Learner 764@example.com,56
Learner 765,Learner 765@example.com,38
Learner 766,Learner 766@example.com,50
Learner 767,Learner 767@example.com,40
Learner 768,Learner 768@example.com,16
Learner 769,Learner 769@example.com,78
Learner 770,Learner 770@example.com,34
Learner 771,Learner 771@example.com,60
Learner 772,Learner 772@example.com,30
Learner 773,Learner 773@example.com,82
Learner 774,Learner 774@example.com,82
Learner 775,Learner 775@example.com,80
Learner 776,Learner 776@example.com,78
Learner 777,Learner 777@example.com,62
Learner 778,Learner 778@example.com,70
