username,email,Knowledge Check 1,Knowledge Check 2,Final Exam,Total,Last visit,Stuck
learner55,learner55@example.com,60,100,70,74,,Video Content Examples
learner56,learner56@example.com,100,60,100,92,,Video Content Examples
learner57,learner57@example.com,90,70,90,86,,Video Content Examples
learner58,learner58@example.com,90,70,70,74,,Video Content Examples
learner59,learner59@example.com,90,100,100,98,,Video Content Examples
learner60,learner60@example.com,100,60,90,86,,Video Content Examples
learner61,learner61@example.com,90,70,90,86,,Video Content Examples
learner62,learner62@example.com,80,100,60,72,,Video Content Examples
learner63,learner63@example.com,100,100,70,82,,Video Content Examples
learner64,learner64@example.com,80,80,60,68,,Video Content Examples
learner65,learner65@example.com,80,60,80,76,,Video Content Examples
learner66,learner66@example.com,80,60,60,64,,Video Content Examples
learner67,learner67@example.com,60,60,60,60,,Video Content Examples
learner68,learner68@example.com,100,90,100,98,,Video Content Examples
learner69,learner69@example.com,100,60,100,92,,Video Content Examples
learner70,learner70@example.com,80,100,90,90,,Video Content Examples
learner71,learner71@example.com,100,100,80,88,,Video Content Examples
learner72,learner72@example.com,70,60,80,74,,Video Content Examples
learner73,learner73@example.com,100,80,90,90,,Video Content Examples
learner74,learner74@example.com,80,60,70,70,,Video Content Examples
learner75,learner75@example.com,80,100,70,78,,Video Content Examples
learner76,learner76@example.com,90,60,80,78,,Video Content Examples
learner77,learner77@example.com,60,70,80,74,,Video Content Examples
learner78,learner78@example.com,90,70,90,86,,Video Content Examples
learner79,learner79@example.com,100,100,70,82,,Video Content Examples
learner80,learner80@example.com,60,100,60,68,,Video Content Examples
learner81,learner81@example.com,90,70,60,68,,Video Content Examples
learner82,learner82@example.com,80,80,80,80,,Video Content Examples
learner83,learner83@example.com,80,100,100,96,,Video Content Examples
learner84,learner84@example.com,80,90,100,94,,Video Content Examples
learner85,learner85@example.com,100,100,80,88,,Video Content Examples
learner86,learner86@example.com,90,90,80,84,,Video Content Examples
learner87,learner87@example.com,80,90,100,94,,Video Content Examples
learner88,learner88@example.com,90,90,100,96,,Video Content Examples
learner89,learner89@example.com,80,80,90,86,,Video Content Examples
learner90,learner90@example.com,100,80,100,96,,Video Content Examples
learner91,learner91@example.com,80,100,80,84,,Video Content Examples
learner92,learner92@example.com,80,100,90,90,,Video Content Examples
learner93,learner93@example.com,80,90,100,94,,Video Content Examples
learner94,learner94@example.com,100,80,90,90,,Video Content Examples
learner95,learner95@example.com,80,90,100,94,,Video Content Examples
learner96,learner96@example.com,100,100,90,94,,Video Content Examples
learner97,learner97@example.com,80,90,90,88,,Video Content Examples
learner98,learner98@example.com,80,100,100,96,,Video Content Examples
learner99,learner99@example.com,90,100,100,98,,Video Content Examples
learner100,learner100@example.com,80,100,100,96,,Video Content Examples
learner101,learner101@example.com,80,100,90,90,,Video Content Examples
learner102,learner102@example.com,100,90,80,86,,Video Content Examples
learner103,learner103@example.com,80,100,100,96,,Video Content Examples
learner104,learner104@example.com,90,100,80,86,,Video Content Examples
learner105,learner105@example.com,100,80,100,96,,Video Content Examples
learner106,learner106@example.com,90,100,80,86,,Video Content Examples
learner107,learner107@example.com,90,70,70,74,,Video Content Examples
learner108,learner108@example.com,40,40,10,22,,Video Content Examples
learner109,learner109@example.com,70,10,80,64,,Video Content Examples
learner110,learner110@example.com,0,30,0,6,,Video Content Examples
learner111,learner111@example.com,20,90,30,40,,Video Content Examples
learner112,learner112@example.com,0,70,80,62,,Video Content Examples
learner113,learner113@example.com,0,30,90,60,,Video Content Examples
learner114,learner114@example.com,0,40,60,44,,Video Content Examples
learner115,learner115@example.com,0,90,40,42,,Video Content Examples
learner116,learner116@example.com,40,20,20,24,,Video Content Examples
learner117,learner117@example.com,60,90,30,48,,Video Content Examples
learner118,learner118@example.com,90,80,20,46,,Video Content Examples
learner119,learner119@example.com,100,20,80,72,,Video Content Examples
learner120,learner120@example.com,80,10,20,30,,Video Content Examples
learner121,learner121@example.com,10,90,0,20,,Video Content Examples
learner122,learner122@example.com,50,40,100,78,,Video Content Examples
learner123,learner123@example.com,10,40,90,64,,Video Content Examples
learner124,learner124@example.com,60,90,40,54,,Video Content Examples
learner125,learner125@example.com,40,30,60,50,,Video Content Examples
learner126,learner126@example.com,70,0,60,50,,Google Document Example
learner127,learner127@example.com,20,100,50,54,,Google Document Example
learner128,learner128@example.com,10,30,80,56,,Google Document Example
learner129,learner129@example.com,90,10,30,38,,Google Document Example
learner130,learner130@example.com,10,90,50,50,,Image Explorer
learner131,learner131@example.com,80,90,10,40,,Image Explorer
learner132,learner132@example.com,40,40,0,16,,PDF
learner133,learner133@example.com,90,0,100,78,,PDF
learner134,learner134@example.com,30,20,40,34,,PDF
learner135,learner135@example.com,50,100,50,60,,PDF
learner136,learner136@example.com,50,100,0,30,,PDF
learner137,learner137@example.com,80,60,90,82,,iFrame Example
learner138,learner138@example.com,80,60,90,82,,iFrame Example
learner139,learner139@example.com,60,70,90,80,,iFrame Example
learner140,learner140@example.com,60,60,90,78,,Scorm Example
learner141,learner141@example.com,60,70,60,62,,Scorm Example
learner142,learner142@example.com,100,70,60,70,,Scorm Example
learner143,learner143@example.com,80,70,90,84,,Scorm Example
learner144,learner144@example.com,90,100,60,74,,Scorm Example
learner145,learner145@example.com,100,90,100,98,,Scorm Example
learner146,learner146@example.com,90,100,100,98,,Scorm Example
learner147,learner147@example.com,70,70,90,82,,Scorm Example
learner148,learner148@example.com,80,70,90,84,,Scorm Example
learner149,learner149@example.com,100,80,80,84,,Scorm Example
learner150,learner150@example.com,60,60,80,72,,Scorm Example
learner151,learner151@example.com,80,90,70,76,,Scorm Example
learner152,learner152@example.com,100,60,70,74,,Scorm Example
learner153,learner153@example.com,80,70,70,72,,Scorm Example
learner154,learner154@example.com,80,90,90,88,,Scorm Example
learner155,learner155@example.com,80,70,80,78,,Scorm Example
learner156,learner156@example.com,90,100,80,86,,Scorm Example
learner157,learner157@example.com,90,60,70,72,,Scorm Example
learner158,learner158@example.com,100,70,90,88,,Scorm Example
learner159,learner159@example.com,90,100,70,80,,Scorm Example
learner160,learner160@example.com,60,100,70,74,,Scorm Example
learner161,learner161@example.com,60,100,70,74,,Scorm Example
learner162,learner162@example.com,100,60,100,92,,Scorm Example
learner163,learner163@example.com,90,70,90,86,,Scorm Example
learner164,learner164@example.com,90,70,70,74,,Scorm Example
learner165,learner165@example.com,90,100,100,98,,Scorm Example
learner166,learner166@example.com,100,60,90,86,,Scorm Example
learner167,learner167@example.com,90,70,90,86,,Scorm Example
learner168,learner168@example.com,80,100,60,72,,Scorm Example
learner169,learner169@example.com,100,100,70,82,,Scorm Example
learner170,learner170@example.com,80,80,60,68,,Scorm Example
learner171,learner171@example.com,80,60,80,76,,Scorm Example
learner172,learner172@example.com,80,60,60,64,,Scorm Example
learner173,learner173@example.com,60,60,60,60,,Scorm Example
learner174,learner174@example.com,100,90,100,98,,Scorm Example
learner175,learner175@example.com,100,60,100,92,,Scorm Example
learner176,learner176@example.com,80,100,90,90,,Scorm Example
learner177,learner177@example.com,100,100,80,88,,Scorm Example
learner178,learner178@example.com,70,60,80,74,,Scorm Example
learner179,learner179@example.com,100,80,90,90,,Scorm Example
learner180,learner180@example.com,80,60,70,70,,Calendar + Quizzes
learner181,learner181@example.com,80,100,70,78,,Calendar + Quizzes
learner182,learner182@example.com,90,60,80,78,,Calendar + Quizzes
learner183,learner183@example.com,60,70,80,74,,Calendar + Quizzes
learner184,learner184@example.com,90,70,90,86,,Calendar + Quizzes
learner185,learner185@example.com,100,100,70,82,,Calendar + Quizzes
learner186,learner186@example.com,60,100,60,68,,Calendar + Quizzes
learner187,learner187@example.com,90,70,60,68,,Calendar + Quizzes
learner188,learner188@example.com,80,80,80,80,,Calendar + Quizzes
learner189,learner189@example.com,80,100,100,96,,Calendar + Quizzes
learner190,learner190@example.com,80,90,100,94,,Calendar + Quizzes
learner191,learner191@example.com,100,100,80,88,,Calendar + Quizzes
learner192,learner192@example.com,90,90,80,84,,Calendar + Quizzes
learner193,learner193@example.com,80,90,100,94,,Calendar + Quizzes
learner194,learner194@example.com,90,90,100,96,,Calendar + Quizzes
learner195,learner195@example.com,80,80,90,86,,Calendar + Quizzes
learner196,learner196@example.com,100,80,100,96,,Calendar + Quizzes
learner197,learner197@example.com,80,100,80,84,,Calendar + Quizzes
learner198,learner198@example.com,80,100,90,90,,Calendar + Quizzes
learner199,learner199@example.com,80,90,100,94,,Calendar + Quizzes
learner200,learner200@example.com,100,80,90,90,,Calendar + Quizzes
learner201,learner201@example.com,80,90,100,94,,Calendar + Quizzes
learner202,learner202@example.com,100,100,90,94,,Calendar + Quizzes
learner203,learner203@example.com,80,90,90,88,,Calendar + Quizzes
learner204,learner204@example.com,80,100,100,96,,Calendar + Quizzes
learner205,learner205@example.com,90,100,100,98,,Calendar + Quizzes
learner206,learner206@example.com,80,100,100,96,,Calendar + Quizzes
learner207,learner207@example.com,80,100,90,90,,Calendar + Quizzes
learner208,learner208@example.com,100,90,80,86,,Calendar + Quizzes
learner209,learner209@example.com,80,100,100,96,,Calendar + Quizzes
learner210,learner210@example.com,90,100,80,86,,Calendar + Quizzes
learner211,learner211@example.com,100,80,100,96,,Calendar + Quizzes
learner212,learner212@example.com,90,100,80,86,,Calendar + Quizzes
learner213,learner213@example.com,90,70,70,74,,Calendar + Quizzes
learner214,learner214@example.com,40,40,10,22,,Calendar + Quizzes
learner215,learner215@example.com,70,10,80,64,,Calendar + Quizzes
learner216,learner216@example.com,0,30,0,6,,Calendar + Quizzes
learner217,learner217@example.com,20,90,30,40,,Calendar + Quizzes
learner218,learner218@example.com,0,70,80,62,,Calendar + Quizzes
learner219,learner219@example.com,0,30,90,60,,Calendar + Quizzes
learner220,learner220@example.com,0,40,60,44,,Calendar + Quizzes
learner221,learner221@example.com,0,90,40,42,,Calendar + Quizzes
learner222,learner222@example.com,40,20,20,24,,Calendar + Quizzes
learner223,learner223@example.com,60,90,30,48,,Calendar + Quizzes
learner224,learner224@example.com,90,80,20,46,,Calendar + Quizzes
learner225,learner225@example.com,100,20,80,72,,Calendar + Quizzes
learner226,learner226@example.com,80,10,20,30,,Calendar + Quizzes
learner227,learner227@example.com,10,90,0,20,,Calendar + Quizzes
learner228,learner228@example.com,50,40,100,78,,Calendar + Quizzes
learner229,learner229@example.com,10,40,90,64,,Calendar + Quizzes
learner230,learner230@example.com,60,90,40,54,,Calendar + Quizzes
learner231,learner231@example.com,40,30,60,50,,Calendar + Quizzes
learner232,learner232@example.com,70,0,60,50,,Calendar + Quizzes
learner233,learner233@example.com,20,100,50,54,,Calendar + Quizzes
learner234,learner234@example.com,10,30,80,56,,Calendar + Quizzes
learner235,learner235@example.com,90,10,30,38,,Calendar + Quizzes
learner236,learner236@example.com,10,90,50,50,,Calendar + Quizzes
learner237,learner237@example.com,80,90,10,40,,Calendar + Quizzes
learner238,learner238@example.com,40,40,0,16,,Calendar + Quizzes
learner239,learner239@example.com,90,0,100,78,,Calendar + Quizzes
learner240,learner240@example.com,30,20,40,34,,Calendar + Quizzes
learner241,learner241@example.com,50,100,50,60,,Calendar + Quizzes
learner242,learner242@example.com,50,100,0,30,,Calendar + Quizzes
learner243,learner243@example.com,80,60,90,82,,Calendar + Quizzes
learner244,learner244@example.com,80,60,90,82,,Calendar + Quizzes
learner245,learner245@example.com,60,70,90,80,,Calendar + Quizzes
learner246,learner246@example.com,60,60,90,78,,Calendar + Quizzes
learner247,learner247@example.com,60,70,60,62,,Calendar + Quizzes
learner248,learner248@example.com,100,70,60,70,,Calendar + Quizzes
learner249,learner249@example.com,80,70,90,84,,Calendar + Quizzes
learner250,learner250@example.com,90,100,60,74,,Calendar + Quizzes
learner251,learner251@example.com,100,90,100,98,,Calendar + Quizzes
learner252,learner252@example.com,90,100,100,98,,Calendar + Quizzes
learner253,learner253@example.com,70,70,90,82,,Calendar + Quizzes
learner254,learner254@example.com,80,70,90,84,,Calendar + Quizzes
learner255,learner255@example.com,100,80,80,84,,Calendar + Quizzes
learner256,learner256@example.com,60,60,80,72,,Calendar + Quizzes
learner257,learner257@example.com,80,90,70,76,,Calendar + Quizzes
learner258,learner258@example.com,100,60,70,74,,Calendar + Quizzes
learner259,learner259@example.com,80,70,70,72,,Calendar + Quizzes
learner260,learner260@example.com,80,90,90,88,,Calendar + Quizzes
learner261,learner261@example.com,80,70,80,78,,Calendar + Quizzes
learner262,learner262@example.com,90,100,80,86,,Calendar + Quizzes
learner263,learner263@example.com,90,60,70,72,,Calendar + Quizzes
learner264,learner264@example.com,100,70,90,88,,Calendar + Quizzes
learner265,learner265@example.com,90,100,70,80,,Calendar + Quizzes
learner266,learner266@example.com,60,100,70,74,,Calendar + Quizzes
learner267,learner267@example.com,60,100,70,74,,Calendar + Quizzes
learner268,learner268@example.com,100,60,100,92,,Calendar + Quizzes
learner269,learner269@example.com,90,70,90,86,,Calendar + Quizzes
learner270,learner270@example.com,90,70,70,74,,Calendar + Quizzes
learner271,learner271@example.com,90,100,100,98,,Calendar + Quizzes
learner272,learner272@example.com,100,60,90,86,,Calendar + Quizzes
learner273,learner273@example.com,90,70,90,86,,Calendar + Quizzes
learner274,learner274@example.com,80,100,60,72,,Calendar + Quizzes
learner275,learner275@example.com,100,100,70,82,,Calendar + Quizzes
learner276,learner276@example.com,80,80,60,68,,Calendar + Quizzes
learner277,learner277@example.com,80,60,80,76,,Calendar + Quizzes
learner278,learner278@example.com,80,60,60,64,,Calendar + Quizzes
learner279,learner279@example.com,60,60,60,60,,Calendar + Quizzes
learner280,learner280@example.com,100,90,100,98,,Calendar + Quizzes
learner281,learner281@example.com,100,60,100,92,,Calendar + Quizzes
learner282,learner282@example.com,80,100,90,90,,Calendar + Quizzes
learner283,learner283@example.com,100,100,80,88,,Calendar + Quizzes
learner284,learner284@example.com,70,60,80,74,,Calendar + Quizzes
learner285,learner285@example.com,100,80,90,90,,Calendar + Quizzes
learner286,learner286@example.com,80,60,70,70,,Calendar + Quizzes
learner287,learner287@example.com,80,100,70,78,,Calendar + Quizzes
learner288,learner288@example.com,90,60,80,78,,Calendar + Quizzes
learner289,learner289@example.com,60,70,80,74,,Calendar + Quizzes
learner290,learner290@example.com,90,70,90,86,,Calendar + Quizzes
learner291,learner291@example.com,100,100,70,82,,Calendar + Quizzes
learner292,learner292@example.com,60,100,60,68,,Calendar + Quizzes
learner293,learner293@example.com,90,70,60,68,,Calendar + Quizzes
learner294,learner294@example.com,80,80,80,80,,Calendar + Quizzes
learner295,learner295@example.com,80,100,100,96,,Calendar + Quizzes
learner296,learner296@example.com,80,90,100,94,,Calendar + Quizzes
learner297,learner297@example.com,100,100,80,88,,Calendar + Quizzes
learner298,learner298@example.com,90,90,80,84,,Calendar + Quizzes
learner299,learner299@example.com,80,90,100,94,,Calendar + Quizzes
learner300,learner300@example.com,90,90,100,96,,Calendar + Quizzes
learner301,learner301@example.com,80,80,90,86,,Calendar + Quizzes
learner302,learner302@example.com,100,80,100,96,,Discussion
learner303,learner303@example.com,80,100,80,84,,Discussion
learner304,learner304@example.com,80,100,90,90,,Discussion
learner305,learner305@example.com,80,90,100,94,,Discussion
learner306,learner306@example.com,100,80,90,90,,Discussion
learner307,learner307@example.com,80,90,100,94,,Discussion
learner308,learner308@example.com,100,100,90,94,,Discussion
learner309,learner309@example.com,80,90,90,88,,Discussion
learner310,learner310@example.com,80,100,100,96,,Discussion
learner311,learner311@example.com,90,100,100,98,,Discussion
learner312,learner312@example.com,80,100,100,96,,Discussion
learner313,learner313@example.com,80,100,90,90,,Discussion
learner314,learner314@example.com,100,90,80,86,,Survey Example
learner315,learner315@example.com,80,100,100,96,,Survey Example
learner316,learner316@example.com,90,100,80,86,,Survey Example
learner317,learner317@example.com,100,80,100,96,,Survey Example
learner318,learner318@example.com,90,100,80,86,,Survey Example
learner319,learner319@example.com,90,70,70,74,,Survey Example
learner320,learner320@example.com,40,40,10,22,,Survey Example
learner321,learner321@example.com,70,10,80,64,,Survey Example
learner322,learner322@example.com,0,30,0,6,,Survey Example
learner323,learner323@example.com,20,90,30,40,,Survey Example
learner324,learner324@example.com,0,70,80,62,,Survey Example
learner325,learner325@example.com,0,30,90,60,,Survey Example
learner326,learner326@example.com,0,40,60,44,,Survey Example
learner327,learner327@example.com,0,90,40,42,,Survey Example
learner328,learner328@example.com,40,20,20,24,,Survey Example
learner329,learner329@example.com,60,90,30,48,,Survey Example
learner330,learner330@example.com,90,80,20,46,,Survey Example
learner331,learner331@example.com,100,20,80,72,,Survey Example
learner332,learner332@example.com,80,10,20,30,,Survey Example
learner333,learner333@example.com,10,90,0,20,,Survey Example
learner334,learner334@example.com,50,40,100,78,,Survey Example
learner335,learner335@example.com,10,40,90,64,,Poll Example
learner336,learner336@example.com,60,90,40,54,,Poll Example
learner337,learner337@example.com,40,30,60,50,,Poll Example
learner338,learner338@example.com,70,0,60,50,,Poll Example
learner339,learner339@example.com,20,100,50,54,,Poll Example
learner340,learner340@example.com,10,30,80,56,,Poll Example
learner341,learner341@example.com,90,10,30,38,,Poll Example
learner342,learner342@example.com,10,90,50,50,,Poll Example
learner343,learner343@example.com,80,90,10,40,,Poll Example
learner344,learner344@example.com,40,40,0,16,,Poll Example
learner345,learner345@example.com,90,0,100,78,,Poll Example
learner346,learner346@example.com,30,20,40,34,,Poll Example
learner347,learner347@example.com,50,100,50,60,,Poll Example
learner348,learner348@example.com,50,100,0,30,,Poll Example
learner349,learner349@example.com,80,60,90,82,,Poll Example
learner350,learner350@example.com,80,60,90,82,,Poll Example
learner351,learner351@example.com,60,70,90,80,,Poll Example
learner352,learner352@example.com,60,60,90,78,,Poll Example
learner353,learner353@example.com,60,70,60,62,,Poll Example
learner354,learner354@example.com,100,70,60,70,,Poll Example
learner355,learner355@example.com,80,70,90,84,,Poll Example
learner356,learner356@example.com,90,100,60,74,,Poll Example
learner357,learner357@example.com,100,90,100,98,,Poll Example
learner358,learner358@example.com,90,100,100,98,,Poll Example
learner359,learner359@example.com,70,70,90,82,,Poll Example
learner360,learner360@example.com,80,70,90,84,,Poll Example
learner361,learner361@example.com,100,80,80,84,,Poll Example
learner362,learner362@example.com,60,60,80,72,,Poll Example
learner363,learner363@example.com,80,90,70,76,,Poll Example
learner364,learner364@example.com,100,60,70,74,,Poll Example
learner365,learner365@example.com,80,70,70,72,,Poll Example
learner366,learner366@example.com,80,90,90,88,,Poll Example
learner367,learner367@example.com,80,70,80,78,,Poll Example
learner368,learner368@example.com,90,100,80,86,,Poll Example
learner369,learner369@example.com,90,60,70,72,,Poll Example
learner370,learner370@example.com,100,70,90,88,,Poll Example
learner371,learner371@example.com,90,100,70,80,,Feedback Gathering
learner372,learner372@example.com,60,100,70,74,,Feedback Gathering
learner373,learner373@example.com,60,100,70,74,,Feedback Gathering
learner374,learner374@example.com,100,60,100,92,,Feedback Gathering
learner375,learner375@example.com,90,70,90,86,,Feedback Gathering
learner376,learner376@example.com,90,70,70,74,,Feedback Gathering
learner377,learner377@example.com,90,100,100,98,,Feedback Gathering
learner378,learner378@example.com,100,60,90,86,,Feedback Gathering
learner379,learner379@example.com,90,70,90,86,,Online Lecture/Conference
learner380,learner380@example.com,80,100,60,72,,Online Lecture/Conference
learner381,learner381@example.com,100,100,70,82,,Online Lecture/Conference
learner382,learner382@example.com,80,80,60,68,,Online Lecture/Conference
learner383,learner383@example.com,80,60,80,76,,Online Lecture/Conference
learner384,learner384@example.com,80,60,60,64,,Online Lecture/Conference
learner385,learner385@example.com,60,60,60,60,,Online Lecture/Conference
learner386,learner386@example.com,100,90,100,98,,Online Lecture/Conference
learner387,learner387@example.com,100,60,100,92,,Online Lecture/Conference
learner388,learner388@example.com,80,100,90,90,,Online Lecture/Conference
learner389,learner389@example.com,100,100,80,88,,Online Lecture/Conference
learner390,learner390@example.com,70,60,80,74,,Online Lecture/Conference
learner391,learner391@example.com,100,80,90,90,,Single/Multiple Choice
learner392,learner392@example.com,80,60,70,70,,Single/Multiple Choice
learner393,learner393@example.com,80,100,70,78,,Single/Multiple Choice
learner394,learner394@example.com,90,60,80,78,,Single/Multiple Choice
learner395,learner395@example.com,60,70,80,74,,Single/Multiple Choice
learner396,learner396@example.com,90,70,90,86,,Single/Multiple Choice
learner397,learner397@example.com,100,100,70,82,,Single/Multiple Choice
learner398,learner398@example.com,60,100,60,68,,Single/Multiple Choice
learner399,learner399@example.com,90,70,60,68,,Single/Multiple Choice
learner400,learner400@example.com,80,80,80,80,,Single/Multiple Choice
learner401,learner401@example.com,80,100,100,96,,Single/Multiple Choice
learner402,learner402@example.com,80,90,100,94,,Single/Multiple Choice
learner403,learner403@example.com,100,100,80,88,,Single/Multiple Choice
learner404,learner404@example.com,90,90,80,84,,Single/Multiple Choice
learner405,learner405@example.com,80,90,100,94,,Single/Multiple Choice
learner406,learner406@example.com,90,90,100,96,,Single/Multiple Choice
learner407,learner407@example.com,80,80,90,86,,Single/Multiple Choice
learner408,learner408@example.com,100,80,100,96,,Single/Multiple Choice
learner409,learner409@example.com,80,100,80,84,,Single/Multiple Choice
learner410,learner410@example.com,80,100,90,90,,Single/Multiple Choice
learner411,learner411@example.com,80,90,100,94,,Single/Multiple Choice
learner412,learner412@example.com,100,80,90,90,,Single/Multiple Choice
learner413,learner413@example.com,80,90,100,94,,Single/Multiple Choice
learner414,learner414@example.com,100,100,90,94,,Single/Multiple Choice
learner415,learner415@example.com,80,90,90,88,,Single/Multiple Choice
learner416,learner416@example.com,80,100,100,96,,Single/Multiple Choice
learner417,learner417@example.com,90,100,100,98,,Single/Multiple Choice
learner418,learner418@example.com,80,100,100,96,,Single/Multiple Choice
learner419,learner419@example.com,80,100,90,90,,Single/Multiple Choice
learner420,learner420@example.com,100,90,80,86,,Single/Multiple Choice
learner421,learner421@example.com,80,100,100,96,,Single/Multiple Choice
learner422,learner422@example.com,90,100,80,86,,Single/Multiple Choice
learner423,learner423@example.com,100,80,100,96,,Single/Multiple Choice
learner424,learner424@example.com,90,100,80,86,,Single/Multiple Choice
learner425,learner425@example.com,90,70,70,74,,Single/Multiple Choice
learner426,learner426@example.com,40,40,10,22,,Single/Multiple Choice
learner427,learner427@example.com,70,10,80,64,,Single/Multiple Choice
learner428,learner428@example.com,0,30,0,6,,Single/Multiple Choice
learner429,learner429@example.com,20,90,30,40,,Single/Multiple Choice
learner430,learner430@example.com,0,70,80,62,,Single/Multiple Choice
learner431,learner431@example.com,0,30,90,60,,Single/Multiple Choice
learner432,learner432@example.com,0,40,60,44,,Single/Multiple Choice
learner433,learner433@example.com,0,90,40,42,,Single/Multiple Choice
learner434,learner434@example.com,40,20,20,24,,Single/Multiple Choice
learner435,learner435@example.com,60,90,30,48,,Single/Multiple Choice
learner436,learner436@example.com,90,80,20,46,,Single/Multiple Choice
learner437,learner437@example.com,100,20,80,72,,Single/Multiple Choice
learner438,learner438@example.com,80,10,20,30,,Single/Multiple Choice
learner439,learner439@example.com,10,90,0,20,,Single/Multiple Choice
learner440,learner440@example.com,50,40,100,78,,Single/Multiple Choice
learner441,learner441@example.com,10,40,90,64,,Single/Multiple Choice
learner442,learner442@example.com,60,90,40,54,,Single/Multiple Choice
learner443,learner443@example.com,40,30,60,50,,Single/Multiple Choice
learner444,learner444@example.com,70,0,60,50,,Single/Multiple Choice
learner445,learner445@example.com,20,100,50,54,,Single/Multiple Choice
learner446,learner446@example.com,10,30,80,56,,Single/Multiple Choice
learner447,learner447@example.com,90,10,30,38,,Single/Multiple Choice
learner448,learner448@example.com,10,90,50,50,,Single/Multiple Choice
learner449,learner449@example.com,80,90,10,40,,Single/Multiple Choice
learner450,learner450@example.com,40,40,0,16,,Single/Multiple Choice
learner451,learner451@example.com,90,0,100,78,,Single/Multiple Choice
learner452,learner452@example.com,30,20,40,34,,Single/Multiple Choice
learner453,learner453@example.com,50,100,50,60,,Single/Multiple Choice
learner454,learner454@example.com,50,100,0,30,,Single/Multiple Choice
learner455,learner455@example.com,80,60,90,82,,Single/Multiple Choice
learner456,learner456@example.com,80,60,90,82,,Single/Multiple Choice
learner457,learner457@example.com,60,70,90,80,,Single/Multiple Choice
learner458,learner458@example.com,60,60,90,78,,Single/Multiple Choice
learner459,learner459@example.com,60,70,60,62,,Single/Multiple Choice
learner460,learner460@example.com,100,70,60,70,,Single/Multiple Choice
learner461,learner461@example.com,80,70,90,84,,Single/Multiple Choice
learner462,learner462@example.com,90,100,60,74,,Single/Multiple Choice
learner463,learner463@example.com,100,90,100,98,,Single/Multiple Choice
learner464,learner464@example.com,90,100,100,98,,Single/Multiple Choice
learner465,learner465@example.com,70,70,90,82,,Single/Multiple Choice
learner466,learner466@example.com,80,70,90,84,,Single/Multiple Choice
learner467,learner467@example.com,100,80,80,84,,Single/Multiple Choice
learner468,learner468@example.com,60,60,80,72,,Single/Multiple Choice
learner469,learner469@example.com,80,90,70,76,,Single/Multiple Choice
learner470,learner470@example.com,100,60,70,74,,Single/Multiple Choice
learner471,learner471@example.com,80,70,70,72,,Single/Multiple Choice
learner472,learner472@example.com,80,90,90,88,,Single/Multiple Choice
learner473,learner473@example.com,80,70,80,78,,Single/Multiple Choice
learner474,learner474@example.com,90,100,80,86,,Single/Multiple Choice
learner475,learner475@example.com,90,60,70,72,,Single/Multiple Choice
